video,accuracy,precision,recall,f1,tp,fp,fn
6847068375719_2,0.7654218533886583,0.994608195542775,0.7686111111111111,0.8671262926982137,2767,15,833
1080p_20220331_200606_recording_1648740480_cc,0.7969924812030075,0.8907563025210085,0.8833333333333333,0.8870292887029289,3180,390,420
1080p_20220412_192321_recording_1649772120_bf,0.21053384857592672,0.5784506488399528,0.24868977176669485,0.3478363679356822,1471,1072,4444
1080p_20220331_165406_recording_1648729500_ab,0.48796272327206835,0.87756052141527,0.5236111111111111,0.6558803061934585,1885,263,1715
1080p_20230322_134424_presenter_dcd87edc_34a5,0.99,1.0,0.99,0.9949748743718593,3564,0,36
atrium_125_2,0.611628388164701,0.9874728578586939,0.6164112188510061,0.7590191295416614,5912,75,3679
korolev,0.016666666666666666,1.0,0.016666666666666666,0.03278688524590164,60,0,3540
atrium_118_5,0.9048611111111111,1.0,0.9048611111111111,0.9500546846518411,6515,0,685
parsa,0.9488243430152143,0.9956458635703919,0.9527777777777777,0.9737402413058905,3430,15,170
1080p_20230311_174953_recording_1678528560_13,0.9880555555555556,1.0,0.9880555555555556,0.9939918960458293,3557,0,43
1080p_20230323_003341_presenter_1faa9d20_b66a,0.9958333333333333,1.0,0.9958333333333333,0.9979123173277662,3585,0,15
1080p_20220425_175858_recording_1650892560_84,0.0,0.0,0.0,0.0,0,0,6571
1080p_20230318_205539_recording_1679145360_fa,0.8212801330008312,0.9969727547931383,0.8233333333333334,0.9018712916476496,2964,9,636
atrium_118_4,0.9805212620027435,0.9875656258634982,0.9927777777777778,0.9901648427760078,3574,45,26
1080p_20220405_162314_recording_1649158560_66,0.18769574944071588,0.4909303686366296,0.23305555555555554,0.31606705594273876,839,870,2761
1080p_20220419_112841_recording_1650351600_be,0.0054288816503800215,0.19230769230769232,0.005555555555555556,0.01079913606911447,20,84,3580
saslastnikov,0.07896909107585068,0.8931535269709544,0.07972222222222222,0.1463787827269636,861,103,9939
6847068375719,0.024166666666666666,1.0,0.024166666666666666,0.047192839707078924,87,0,3513
atrium_118_2,0.7344601459314676,0.9966161173079333,0.7362962962962963,0.8469034559880718,7952,27,2848
adpiskunov,0.8138888888888889,1.0,0.8138888888888889,0.8973966309341501,2930,0,670
1080p_20220419_173326_recording_1650373200_25,0.8660846647998682,1.0,0.8660846647998682,0.9282372671903962,10516,0,1626
1080p_20230407_144945_presenter_14938622_bbc3,0.9958333333333333,1.0,0.9958333333333333,0.9979123173277662,3585,0,15
atrium_118_3,0.4054429325187448,0.999315537303217,0.40555555555555556,0.576961074886386,1460,1,2140
6847068375719_1,0.8135974786132373,1.0,0.8135974786132373,0.897219463753724,1807,0,414
7008781273705_1,0.0,0.0,0.0,0.0,0,17,7200
atrium_125_6,0.6963887650468124,0.996554804134235,0.6980693600286021,0.8210249671484888,7810,27,3378
atrium_125_4,0.8590436590436591,0.9975857073877354,0.8608333333333333,0.9241780362335048,6198,15,1002
atrium_118_1,0.9933333333333333,1.0,0.9933333333333333,0.9966555183946488,3576,0,24
atrium_118_6,0.9859722222222222,1.0,0.9859722222222222,0.9929365689908385,14198,0,202
1080p_20220330_154734_recording_1648639200_1e,0.18178431737753772,0.35555555555555557,0.27111111111111114,0.30764381402679275,976,1769,2624
7008781273705_2,0.0,0.0,0.0,0.0,0,3,7200
palmasizade,0.8450665188470067,0.9973830552829571,0.8469444444444445,0.9160282409493766,3049,8,551
01080p_20230322_101245_608727_0427,0.9480555555555555,1.0,0.9480555555555555,0.9733352345643805,3413,0,187
1080p_20220331_155536_recording_1648726140_8e,0.209734305196332,0.5773462783171521,0.2477777777777778,0.3467444120505345,892,653,2708
7008781273705,0.0,0.0,0.0,0.0,0,81,7200
1080p_20220331_135917_recording_1648718820_5b,0.26752921535893154,0.5181891673403395,0.3561111111111111,0.4221270991109647,1282,1192,2318
1080p_20220331_115400_recording_1648711500_cf,0.6833508956796628,0.9297491039426523,0.7205555555555555,0.8118935837245695,2594,196,1006
1080p_20220331_125501_recording_1648715160_ed,0.23080279232111692,0.5181194906953966,0.29388888888888887,0.3750443105281815,1058,984,2542
1080p_20230318_192453_recording_1679139360_ac,0.8084583901773533,0.9785336856010568,0.8230555555555555,0.8940856970428485,2963,65,637
7132965636760_1,0.006184150251946862,0.034047919293820936,0.0075,0.012292283177782836,27,766,3573
7159730539244,0.0,0.0,0.0,0.0,0,208,3600
1080p_20220330_183500_recording_1648646400_9f,0.7015778019586507,0.9713747645951035,0.7163888888888889,0.8246203037569944,2579,76,1021
6847068375719_4,0.33171912832929784,1.0,0.33171912832929784,0.49818181818181817,1918,0,3864
1080p_20220419_172843_recording_1650373200_e4,0.5819444444444445,1.0,0.5819444444444445,0.7357330992098333,2095,0,1505
1080p_20220419_133202_recording_1650358800_2a,0.5233644859813084,1.0,0.5233644859813084,0.6871165644171778,112,0,102
1080p_20220331_175806_recording_1648733160_9c(1),0.6027739251040222,0.9977043158861341,0.6036111111111111,0.7521633783316026,2173,5,1427
6847068375719_5,0.36929806290356176,1.0,0.36929806290356176,0.5393976270155156,1773,0,3028
1080p_20230318_181608_602198_0,0.8313888888888888,1.0,0.8313888888888888,0.9079326558471106,2993,0,607
atrium_125_1,0.6578703703703703,1.0,0.6578703703703703,0.7936330633901144,7105,0,3695
1080p_20220330_204700_recording_1648657080_0c,0.8254693049213597,0.9048943270300334,0.9038888888888889,0.9043913285158421,3254,342,346
6847068375719_3,0.2627892167268096,1.0,0.2627892167268096,0.4162044041015297,1238,0,3473
1080p_20220419_153157_recording_1650366000_bc,0.1663888888888889,1.0,0.1663888888888889,0.28530602524410575,599,0,3001
vvromanov,0.5645799394926693,0.9079341317365269,0.5988644779066897,0.7217016213000149,2426,246,1625
atrium_125_5,0.7719444444444444,1.0,0.7719444444444444,0.8712964414485029,5558,0,1642
1080p_20220331_211018_recording_1648744140_1c,0.23956483126110123,0.5441250630358043,0.2997222222222222,0.38653053913666485,1079,904,2521
1080p_20220602_111012_recording_1654092000_c4,0.7997222222222222,1.0,0.7997222222222222,0.8887173946596697,2879,0,721
1080p_20220330_123150_recording_1648628700_1d,0.3795531811559009,0.751081210956271,0.43416666666666665,0.5502552367540926,1563,518,2037
1080p_20220331_175806_recording_1648733160_9c,0.5359633827375763,0.7133739483608935,0.6830555555555555,0.6978856250886902,2459,988,1141
6945730529978,0.0,0.0,0.0,0.0,0,0,4906
7132965636760,0.0,0.0,0.0,0.0,0,0,3600
atrium_125_3,0.9336384439359268,0.9933049300060864,0.9395509499136442,0.965680473372781,3264,22,210
6816186370656,0.4840277777777778,1.0,0.4840277777777778,0.6523163313055685,3485,0,3715
1080p_20220330_144234_recording_1648635300_87,0.5040688212043711,0.7556639944231439,0.6022222222222222,0.6702736126140052,2168,701,1432
0421080p_20230311_165308_recording_1678521960,0.8933333333333333,1.0,0.8933333333333333,0.9436619718309859,3216,0,384
TOTAL,0.5295336881907733,0.9318817824489447,0.5508559919436052,0.692411932184558,174493,12755,142274
